"Total de registros", 899
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2CENTRO","10149","10149","C2C-ANGEL-10149-10149-PTZ","9230"
"C2CENTRO","7954","118031","C2C-ROMA-118031-7954-FIJA","7231"
"C2CENTRO","2419","2419","C2C-CENTRO-2419-2419-PTZ","1710"
"C2CENTRO","8087","120353","C2C-ASTURI-120353-8087-FIJA","1691"
"C2CENTRO","2419","117814","C2C-CENTRO-117814-2419-FIJA","1499"
"C2CENTRO","2419","117816","C2C-CENTRO-117816-2419-FIJA","1433"
"C2CENTRO","2419","117815","C2C-CENTRO-117815-2419-FIJA","1264"
"C2CENTRO","2419","117813","C2C-CENTRO-117813-2419-FIJA","1100"
"C2CENTRO","8087","120356","C2C-ASTURI-120356-8087-FIJA","724"
"C2CENTRO","10143","10143","C2C-TLATEL-10143-10143-PTZ","646"
"C2CENTRO","8087","120355","C2C-ASTURI-120355-8087-FIJA","616"
"C2CENTRO","6735","115393","C2C-ROMA-115393-6735-FIJA","583"
"C2CENTRO","6735","6735","C2C-ROMA-6735-6735-PTZ","528"
"C2CENTRO","2642","2642","C2C-ROMA-2642-2642-PTZ","510"
"C2CENTRO","2484","2484","C2C-ALAMED-2484-2484-PTZ","456"
"C2CENTRO","10177","10177","C2C-TLATEL-10177-10177-PTZ","451"
"C2CENTRO","6754","6754","C2C-ROMA-6754-6754-PTZ","445"
"C2CENTRO","6754","130149","C2C-ROMA-130149-6754-FIJA","439"
"C2CENTRO","2484","116892","C2C-ALAMED-116892-2484-FIJA","436"
"C2CENTRO","6754","130152","C2C-ROMA-130152-6754-FIJA","435"
"C2CENTRO","2484","116890","C2C-ALAMED-116890-2484-FIJA","419"
"C2CENTRO","10184","10184","C2C-BUENAV-10184-10184-PTZ","413"
"C2CENTRO","1733","1733","C2C-TLATEL-1733-1733-PTZ","403"
"C2CENTRO","6754","130151","C2C-ROMA-130151-6754-FIJA","377"
"C2CENTRO","2484","116891","C2C-ALAMED-116891-2484-FIJA","371"
"C2CENTRO","2484","116889","C2C-ALAMED-116889-2484-FIJA","363"
"C2CENTRO","6735","115394","C2C-ROMA-115394-6735-FIJA","339"
"C2CENTRO","6754","130150","C2C-ROMA-130150-6754-FIJA","336"
"C2CENTRO","8087","8087","C2C-ASTURI-8087-8087-PTZ","335"
"C2CENTRO","6671","125737","C2C-TLATEL-125737-6671-FIJA","325"
"C2CENTRO","6735","115395","C2C-ROMA-115395-6735-FIJA","324"
"C2CENTRO","2196","2196","C2C-ALAMED-2196-2196-PTZ","318"
"C2CENTRO","17404","17404","C2C-MORELO-17404-17404-PTZ","299"
"C2CENTRO","17404","121485","C2C-MORELO-121485-17404-FIJA","285"
"C2CENTRO","6671","125738","C2C-TLATEL-125738-6671-FIJA","275"
"C2CENTRO","17404","121486","C2C-MORELO-121486-17404-FIJA","269"
"C2CENTRO","6671","6671","C2C-TLATEL-6671-6671-PTZ","260"
"C2CENTRO","17404","121484","C2C-MORELO-121484-17404-FIJA","253"
"C2CENTRO","17404","121483","C2C-MORELO-121483-17404-FIJA","251"
"C2CENTRO","5450","120329","C2C-TLATEL-120329-5450-FIJA","246"
"C2CENTRO","6671","125735","C2C-TLATEL-125735-6671-FIJA","242"
"C2CENTRO","5428","5428","C2C-TLATEL-5428-5428-PTZ","236"
"C2CENTRO","2317","2317","C2C-ASTURI-2317-2317-PTZ-20M","222"
"C2CENTRO","2575","2575","C2C-ROMA-2575-2575-PTZ-20M","189"
"C2CENTRO","9301","9301","C2C-ASTURI-9301-9301-PTZ","179"
"C2CENTRO","6735","115396","C2C-ROMA-115396-6735-FIJA","161"
"C2CENTRO","6699","118613","C2C-ROMA-118613-6699-FIJA","152"
"C2CENTRO","6699","118614","C2C-ROMA-118614-6699-FIJA","151"
"C2CENTRO","10317","10317","C2C-TLATEL-10317-10317-PTZ","149"
"C2CENTRO","6699","6699","C2C-ROMA-6699-6699-PTZ","123"
"C2CENTRO","6699","118615","C2C-ROMA-118615-6699-FIJA","108"
"C2CENTRO","5450","120332","C2C-TLATEL-120332-5450-FIJA","106"
"C2CENTRO","6671","125736","C2C-TLATEL-125736-6671-FIJA","95"
"C2CENTRO","2621","130399","C2C-ROMA-130399-2621-FIJA","92"
"C2CENTRO","2642","121156","C2C-ROMA-121156-2642-FIJA","90"
"C2CENTRO","2642","121155","C2C-ROMA-121155-2642-FIJA","85"
"C2CENTRO","8087","120354","C2C-ASTURI-120354-8087-FIJA","81"
"C2CENTRO","2621","130397","C2C-ROMA-130397-2621-FIJA","81"
"C2CENTRO","2642","121153","C2C-ROMA-121153-2642-FIJA","80"
"C2CENTRO","807","807","C2C-ROMA-807-807-PTZ-20M","79"
"C2CENTRO","2202","2202","C2C-ALAMED-2202-2202-PTZ","77"
"C2CENTRO","2621","130398","C2C-ROMA-130398-2621-FIJA","73"
"C2CENTRO","2642","121154","C2C-ROMA-121154-2642-FIJA","72"
"C2CENTRO","2398","2398","C2C-TLATEL-2398-2398-PTZ-20M","71"
"C2CENTRO","10172","10172","C2C-ASTURI-10172-10172-PTZ","70"
"C2CENTRO","2621","130400","C2C-ROMA-130400-2621-FIJA","70"
"C2CENTRO","2621","2621","C2C-ROMA-2621-2621-PTZ","69"
"C2CENTRO","6699","118616","C2C-ROMA-118616-6699-FIJA","48"
