"Total de registros", 5261
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2PONIENTE","386","386","C2P-LARAZA-386-386-PTZ","33695"
"C2PONIENTE","812","102107","C2P-SANJER-102107-812-FIJA","8201"
"C2PONIENTE","13307","13307","C2P-DINAMO-13307-13307-PTZ","5260"
"C2PONIENTE","13335","13335","C2P-DINAMO-13335-13335-PTZ","4062"
"C2PONIENTE","6615","111874","C2P-CUAJIM-111874-6615-FIJA","3211"
"C2PONIENTE","112","112","C2P-PLATER-112-112-PTZ","2306"
"C2PONIENTE","303","303","C2P-HORMIG-303-303-PTZ","2246"
"C2PONIENTE","6173","130700","C2P-ALPES-130700-6173-FIJA","1667"
"C2PONIENTE","6294","6294","C2P-PLATER-6294-6294-PTZ","1595"
"C2PONIENTE","3019","119627","C2P-TACUBA-119627-3019-FIJA","1475"
"C2PONIENTE","3019","119628","C2P-TACUBA-119628-3019-FIJA","1344"
"C2PONIENTE","12602","126834","C2P-SANANG-126834-12602-FIJA","1285"
"C2PONIENTE","3019","119625","C2P-TACUBA-119625-3019-FIJA","1284"
"C2PONIENTE","12602","12602","C2P-SANANG-12602-12602-PTZ","1270"
"C2PONIENTE","12602","126833","C2P-SANANG-126833-12602-FIJA","1260"
"C2PONIENTE","12602","126832","C2P-SANANG-126832-12602-FIJA","1256"
"C2PONIENTE","12602","126831","C2P-SANANG-126831-12602-FIJA","1248"
"C2PONIENTE","3019","3019","C2P-TACUBA-3019-3019-PTZ","1207"
"C2PONIENTE","3176","3176","C2P-TACUBA-3176-3176-PTZ","1190"
"C2PONIENTE","3019","119626","C2P-TACUBA-119626-3019-FIJA","1144"
"C2PONIENTE","1518","1518","C2P-CHAPUL-1518-1518-PTZ","1036"
"C2PONIENTE","6615","6615","C2P-CUAJIM-6615-6615-PTZ","1034"
"C2PONIENTE","5830","5830","C2P-CUAJIM-5830-5830-PTZ","1007"
"C2PONIENTE","6173","6173","C2P-ALPES-6173-6173-PTZ","899"
"C2PONIENTE","3239","3239","C2P-TACUBA-3239-3239-PTZ","895"
"C2PONIENTE","7833","7833","C2P-TACUBA-7833-7833-PTZ","811"
"C2PONIENTE","3239","106084","C2P-TACUBA-106084-3239-FIJA","715"
"C2PONIENTE","5830","110684","C2P-CUAJIM-110684-5830-FIJA","684"
"C2PONIENTE","3239","106082","C2P-TACUBA-106082-3239-FIJA","652"
"C2PONIENTE","3239","106083","C2P-TACUBA-106083-3239-FIJA","647"
"C2PONIENTE","3239","106081","C2P-TACUBA-106081-3239-FIJA","642"
"C2PONIENTE","13767","13767","C2P-TACUBA-13767-13767-PTZ","618"
"C2PONIENTE","5829","110677","C2P-CUAJIM-110677-5829-FIJA","607"
"C2PONIENTE","12468","12468","C2P-SANTAF-12468-12468-PTZ","601"
"C2PONIENTE","5829","110679","C2P-CUAJIM-110679-5829-FIJA","598"
"C2PONIENTE","3176","105918","C2P-TACUBA-105918-3176-FIJA","564"
"C2PONIENTE","5830","110683","C2P-CUAJIM-110683-5830-FIJA","560"
"C2PONIENTE","13853","13853","C2P-SOTELO-13853-13853-PTZ","557"
"C2PONIENTE","1518","103443","C2P-CHAPUL-103443-1518-FIJA","546"
"C2PONIENTE","6615","111873","C2P-CUAJIM-111873-6615-FIJA","537"
"C2PONIENTE","4617","4617","C2P-CUITLA-4617-4617-PTZ","523"
"C2PONIENTE","2759","2759","C2P-SANANG-2759-2759-PTZ-20M","515"
"C2PONIENTE","7316","7316","C2P-DINAMO-7316-7316-PTZ","503"
"C2PONIENTE","12601","12601","C2P-SANANG-12601-12601-PTZ","493"
"C2PONIENTE","5830","110682","C2P-CUAJIM-110682-5830-FIJA","479"
"C2PONIENTE","13555","13555","C2P-TACUBA-13555-13555-PTZ","473"
"C2PONIENTE","4391","120849","C2P-PLATER-120849-4391-FIJA","463"
"C2PONIENTE","6615","111876","C2P-CUAJIM-111876-6615-FIJA","454"
"C2PONIENTE","3176","105919","C2P-TACUBA-105919-3176-FIJA","421"
"C2PONIENTE","6366","6366","C2P-LARAZA-6366-6366-PTZ","409"
"C2PONIENTE","13418","13418","C2P-SOTELO-13418-13418-PTZ-20M","398"
"C2PONIENTE","4407","4407","C2P-PLATER-4407-4407-PTZ","396"
"C2PONIENTE","5829","110680","C2P-CUAJIM-110680-5829-FIJA","385"
"C2PONIENTE","4617","108306","C2P-CUITLA-108306-4617-FIJA","351"
"C2PONIENTE","6304","6304","C2P-PLATER-6304-6304-PTZ","347"
"C2PONIENTE","6304","130778","C2P-PLATER-130778-6304-FIJA","340"
"C2PONIENTE","4569","4569","C2P-LARAZA-4569-4569-PTZ","336"
"C2PONIENTE","12375","12375","C2P-ALPES-12375-12375-PTZ-20M","313"
"C2PONIENTE","9206","122495","C2P-HORMIG-122495-9206-FIJA","310"
"C2PONIENTE","6304","130777","C2P-PLATER-130777-6304-FIJA","309"
"C2PONIENTE","6304","130779","C2P-PLATER-130779-6304-FIJA","307"
"C2PONIENTE","4617","108305","C2P-CUITLA-108305-4617-FIJA","306"
"C2PONIENTE","9206","9206","C2P-HORMIG-9206-9206-PTZ","305"
"C2PONIENTE","6366","130828","C2P-LARAZA-130828-6366-FIJA","290"
"C2PONIENTE","6304","130780","C2P-PLATER-130780-6304-FIJA","284"
"C2PONIENTE","4617","108308","C2P-CUITLA-108308-4617-FIJA","275"
"C2PONIENTE","4617","108307","C2P-CUITLA-108307-4617-FIJA","267"
"C2PONIENTE","6366","130826","C2P-LARAZA-130826-6366-FIJA","260"
"C2PONIENTE","6173","130697","C2P-ALPES-130697-6173-FIJA","259"
"C2PONIENTE","6366","130825","C2P-LARAZA-130825-6366-FIJA","238"
"C2PONIENTE","6366","130827","C2P-LARAZA-130827-6366-FIJA","227"
"C2PONIENTE","5830","110681","C2P-CUAJIM-110681-5830-FIJA","226"
"C2PONIENTE","5829","5829","C2P-CUAJIM-5829-5829-PTZ","221"
"C2PONIENTE","12501","12501","C2P-SANANG-12501-12501-PTZ","220"
"C2PONIENTE","6326","111414","C2P-PLATER-111414-6326-FIJA","215"
"C2PONIENTE","6615","111875","C2P-CUAJIM-111875-6615-FIJA","214"
"C2PONIENTE","13391","13391","C2P-DINAMO-13391-13391-PTZ-20M","212"
"C2PONIENTE","6326","6326","C2P-PLATER-6326-6326-PTZ","189"
"C2PONIENTE","6406","6406","C2P-HORMIG-6406-6406-PTZ","187"
"C2PONIENTE","9203","9203","C2P-CLAVER-9203-9203-PTZ","185"
"C2PONIENTE","1255","114909","C2P-SANANG-114909-1255-4K","181"
"C2PONIENTE","6326","111415","C2P-PLATER-111415-6326-FIJA","180"
"C2PONIENTE","1518","103444","C2P-CHAPUL-103444-1518-FIJA","177"
"C2PONIENTE","6326","111416","C2P-PLATER-111416-6326-FIJA","173"
"C2PONIENTE","6173","130699","C2P-ALPES-130699-6173-FIJA","170"
"C2PONIENTE","13097","126975","C2P-HORMIG-126975-13097-FIJA","163"
"C2PONIENTE","7934","121328","C2P-SANANG-121328-7934-FIJA","161"
"C2PONIENTE","6326","111413","C2P-PLATER-111413-6326-FIJA","161"
